,Lon,Lat,City nbr,City,wind,temp,humidity,clouds
537,149.159329025832,-24.677420669386024,537.0,blackwater,5.82,68.56,72.0,20.0
538,-148.94807875626265,-12.022596707466903,538.0,fare,6.4,79.78,100.0,88.0
541,71.00362880345077,22.284280950847986,541.0,rajkot,9.57,85.72,23.0,0.0
548,136.2805744824446,0.9894665647911722,548.0,biak,3.09,77.8,100.0,12.0
549,-37.778011681038834,-2.60500908209535,549.0,caucaia,18.34,86.0,70.0,75.0
552,157.19733197129477,29.93628840856283,552.0,hasaki,4.7,57.31,93.0,0.0
557,-28.97022613387506,-54.690849731814346,557.0,chuy,11.14,72.76,99.0,36.0
560,-107.63194627714644,24.193378578986227,560.0,eldorado,2.19,66.2,68.0,40.0
561,140.5824717280713,64.18582426773449,561.0,ust-nera,2.08,12.91,79.0,64.0
564,-106.1727916095939,45.909398430115544,564.0,miles city,12.75,42.8,81.0,1.0
565,92.03922031164035,34.38235124176282,565.0,lasa,10.29,70.48,64.0,40.0
566,116.54079277163032,48.94426930076622,566.0,zabaykalsk,2.75,30.1,65.0,0.0
568,-69.04502935600995,22.91089224022791,568.0,cockburn town,17.85,79.24,96.0,88.0
575,74.66055866999125,57.942474695771494,575.0,tara,1.12,66.2,68.0,48.0
577,148.58604740875836,25.61476587611996,577.0,katsuura,0.96,54.76,84.0,0.0
579,-87.80006052944715,13.951559057914167,579.0,san antonio del norte,6.93,74.77,77.0,75.0
580,26.116837017482993,28.147609267175056,580.0,marsa matruh,11.41,68.0,60.0,20.0
588,-61.40239087992421,-15.167441465799655,588.0,san ignacio,2.24,50.0,100.0,90.0
590,-0.23802499754015116,23.442694699951645,590.0,tessalit,8.23,94.09,13.0,0.0
593,-22.03269972274208,-30.84809913237428,593.0,vila velha,18.34,86.0,70.0,75.0
595,-84.55185440204855,49.56536434029957,595.0,hornepayne,4.09,47.74,47.0,0.0
599,-59.81912715928766,9.335608887740747,599.0,mabaruma,8.23,84.73,73.0,44.0
601,134.32330985669967,24.20224269412246,601.0,naze,11.65,86.53,73.0,80.0
603,15.014900032180265,44.425875102439136,603.0,pag,6.93,72.63,35.0,0.0
608,-110.9442411300871,51.33792810700572,608.0,hanna,4.5,36.13,86.0,92.0
609,158.44468028168848,-36.89670738687544,609.0,nelson bay,4.7,60.8,93.0,40.0
621,-1.9640629585989302,-5.00239674124721,621.0,axim,12.66,81.13,100.0,8.0
625,145.72560273873478,37.39610217006195,625.0,kamaishi,7.4,58.18,50.0,0.0
627,-164.44943932249083,71.70561870663079,627.0,nome,12.75,64.8,68.0,75.0
634,-61.15219968594201,42.894656792209304,634.0,port hawkesbury,13.87,33.8,86.0,90.0
637,-65.96571943361414,66.0611203011212,637.0,pangnirtung,6.93,8.6,84.0,5.0
642,108.61387498845204,63.255787659258516,642.0,yerbogachen,9.64,37.03,63.0,64.0
644,-139.453572569275,37.38233386170022,644.0,fortuna,14.99,72.16,53.0,0.0
646,-117.79242547487227,54.50909928467078,646.0,valleyview,3.53,36.67,85.0,88.0
648,-156.72572029636916,19.443391679956108,648.0,kihei,12.75,69.49,83.0,1.0
650,163.12120630206095,-49.71100634941146,650.0,tuatapere,16.84,48.64,100.0,92.0
654,16.234196704326223,-25.109748835408723,654.0,maltahohe,4.61,84.19,12.0,0.0
655,-113.72664760386473,2.8388042328803778,655.0,san patricio,3.87,87.07,63.0,20.0
657,-61.81377501072866,44.48616906085584,657.0,antigonish,13.87,33.8,86.0,90.0
658,-112.99330207200713,26.266983091317186,658.0,mulege,3.71,64.3,41.0,36.0
661,120.3175951547426,3.4409080475963094,661.0,manuk mangkaw,4.21,84.46,100.0,8.0
663,24.23555703511957,-9.255875258744027,663.0,kamina,6.55,84.37,52.0,12.0
664,-84.19983924089107,50.86720280723594,664.0,hearst,3.49,44.5,55.0,0.0
666,86.73567797013413,58.464617464806366,666.0,pervomayskoye,15.9,50.53,69.0,76.0
